mag,err
16.646999,0.13500001
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.955,0.041000001
17.049,0.16500001
16.784,0.152
14.49,0.035
nan,nan
12.356,0.027000001
nan,nan
16.66,0.167
nan,nan
13.848,0.029999999
nan,nan
nan,nan
nan,nan
nan,nan
15.38,0.057
16.598,0.138
14.252,0.037999999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.007,0.028000001
nan,nan
nan,nan
15.62,0.059
nan,nan
nan,nan
13.678,0.026000001
nan,nan
nan,nan
12.942,0.022
nan,nan
nan,nan
13.576,0.034000002
16.041,0.114
15.793,0.079999998
16.537001,0.15000001
16.351999,0.131
15.987,0.083999999
nan,nan
16.801001,0.147
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.709,0.093000002
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
16.155001,0.097999997
13.808,0.030999999
nan,nan
14.524,0.037999999
nan,nan
nan,nan
nan,nan
16.895,0.18000001
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.029,0.052999999
nan,nan
nan,nan
nan,nan
nan,nan
16.429001,0.121
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.964,0.086000003
nan,nan
nan,nan
15.742,0.075000003
nan,nan
16.613001,0.153
nan,nan
15.261,0.050999999
nan,nan
nan,nan
15.679,0.101
15.641,0.081
15.932,0.081
16.806999,0.163
nan,nan
nan,nan
nan,nan
nan,nan
15.676,0.064000003
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
16.709,0.141
nan,nan
nan,nan
14.669,0.035
16.617001,0.131
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.576,0.035
nan,nan
nan,nan
13.407,0.026000001
nan,nan
14.7,0.039000001
nan,nan
nan,nan
16.462,0.13
17.004,0.20100001
nan,nan
nan,nan
nan,nan
15.139,0.052999999
nan,nan
nan,nan
16.413,0.12
nan,nan
nan,nan
14.372,0.034000002
nan,nan
nan,nan
13.303,0.025
nan,nan
14.966,0.048
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
16.405001,0.113
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
16.688,0.123
nan,nan
16.863001,0.152
nan,nan
15.278,0.048
15.362,0.055
nan,nan
nan,nan
14.931,0.041999999
14.353,0.029999999
14.66,0.045000002
nan,nan
nan,nan
nan,nan
16.445,0.13
nan,nan
nan,nan
15.648,0.059999999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
16.441999,0.139
16.094,0.105
nan,nan
nan,nan
16.586,0.145
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.268,0.064999998
nan,nan
16.587999,0.12800001
nan,nan
15.585,0.050000001
nan,nan
16.615,0.141
nan,nan
nan,nan
nan,nan
12.636,0.026000001
nan,nan
15.506,0.072999999
nan,nan
17.228001,0.21799999
nan,nan
15.611,0.075000003
nan,nan
nan,nan
nan,nan
nan,nan
13.189,0.026000001
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
16.160999,0.097999997
16.243999,0.109
nan,nan
nan,nan
nan,nan
14.522,0.039999999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.509,0.067000002
nan,nan
nan,nan
nan,nan
nan,nan
15.891,0.07
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
16.556999,0.126
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
12.446,0.026000001
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.759,0.028999999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.848,0.039999999
nan,nan
nan,nan
nan,nan
nan,nan
16.215,0.096000001
16.504,0.13500001
nan,nan
nan,nan
nan,nan
15.265,0.056000002
16.518,0.142
nan,nan
nan,nan
15.805,0.078000002
nan,nan
nan,nan
15.831,0.090999998
13.44,0.029999999
nan,nan
16.658001,0.138
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.764,0.079000004
13.188,0.035
nan,nan
13.215,0.035
14.461,0.028999999
nan,nan
16.209999,0.097999997
16.465,0.12
nan,nan
nan,nan
16.687,0.149
15.844,0.081
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
16.009001,0.098999999
nan,nan
nan,nan
15.941,0.086000003
16.672001,0.163
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.058,0.052999999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.62,0.064000003
nan,nan
16.243999,0.111
7.3119998,0.021
nan,nan
15.98,0.098999999
nan,nan
14.511,0.035999998
15.148,0.054000001
15.761,0.067000002
nan,nan
14.563,0.035999998
16.48,0.11
16.584,0.15000001
15.134,0.052000001
13.027,0.028000001
nan,nan
16.882999,0.18000001
15.288,0.032000002
nan,nan
14.109,0.032000002
16.259001,0.093999997
nan,nan
nan,nan
nan,nan
nan,nan
15.086,0.044
nan,nan
nan,nan
nan,nan
nan,nan
17.393999,0.243
nan,nan
nan,nan
15.608,0.061999999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.623,0.075000003
nan,nan
nan,nan
15.9,0.078000002
nan,nan
nan,nan
15.438,0.057
16.163,0.107
nan,nan
nan,nan
16.145,0.097999997
nan,nan
16.554001,0.133
nan,nan
15.762,0.071000002
15.292,0.057
nan,nan
15.389,0.071000002
16.243999,0.118
15.169,0.052000001
14.711,0.034000002
nan,nan
nan,nan
nan,nan
16.576,0.134
nan,nan
nan,nan
nan,nan
nan,nan
16.492001,0.134
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
