mag,err
nan,nan
nan,nan
nan,nan
14.251,0.057
nan,nan
13.068,0.037999999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.219,0.039999999
nan,nan
nan,nan
14.161,0.059
nan,nan
nan,nan
12.433,0.032000002
nan,nan
nan,nan
12.435,0.032000002
nan,nan
nan,nan
13.12,0.044
15.588,0.138
14.837,0.081
nan,nan
15.993,0.208
14.937,0.081
nan,nan
16.365999,0.211
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.144,0.106
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.393,0.127
13.015,0.035999998
nan,nan
13.867,0.045000002
nan,nan
nan,nan
nan,nan
16.155001,0.19599999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.889,0.050000001
nan,nan
nan,nan
nan,nan
nan,nan
15.449,0.114
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.292,0.117
nan,nan
nan,nan
14.706,0.079999998
nan,nan
15.724,0.15700001
nan,nan
14.202,0.050000001
nan,nan
nan,nan
14.811,0.088
14.921,0.104
15.431,0.115
15.779,0.147
nan,nan
nan,nan
nan,nan
nan,nan
15.049,0.081
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.828,0.131
nan,nan
nan,nan
13.652,0.033
16.219,0.19400001
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.96,0.052999999
nan,nan
nan,nan
12.187,0.030999999
nan,nan
13.666,0.044
nan,nan
nan,nan
16.014999,0.23
16.122999,0.221
nan,nan
nan,nan
nan,nan
14.713,0.075000003
nan,nan
nan,nan
15.805,0.148
nan,nan
nan,nan
13.61,0.037
nan,nan
nan,nan
12.085,0.029999999
nan,nan
14.345,0.044
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.259,0.098999999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.801,0.142
nan,nan
nan,nan
nan,nan
14.834,0.072999999
14.73,0.071999997
nan,nan
nan,nan
13.675,0.032000002
13.64,0.039000001
13.769,0.056000002
nan,nan
nan,nan
nan,nan
15.527,0.13600001
nan,nan
nan,nan
14.367,0.054000001
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.896,0.205
15.436,0.141
nan,nan
nan,nan
16.106001,0.197
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.709,0.075000003
nan,nan
15.979,0.16500001
nan,nan
15.008,0.081
nan,nan
15.847,0.156
nan,nan
nan,nan
nan,nan
12.168,0.028999999
nan,nan
14.823,0.064999998
nan,nan
16.072001,0.175
nan,nan
15.048,0.092
nan,nan
nan,nan
nan,nan
nan,nan
12.725,0.033
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.305,0.104
15.259,0.11
nan,nan
nan,nan
nan,nan
13.747,0.050000001
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.045,0.102
nan,nan
nan,nan
nan,nan
nan,nan
15.422,0.1
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.924,0.162
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
11.82,0.028000001
15.101,0.23899999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
12.651,0.027000001
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.205,0.052000001
nan,nan
nan,nan
nan,nan
nan,nan
14.597,0.054000001
15.587,0.133
nan,nan
nan,nan
nan,nan
14.405,0.056000002
15.483,0.125
nan,nan
nan,nan
15.435,0.105
nan,nan
nan,nan
15.227,0.111
13.195,0.033
nan,nan
15.778,0.134
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.31,0.109
12.753,0.037
nan,nan
12.626,0.033
13.185,0.033
nan,nan
15.568,0.123
15.813,0.155
nan,nan
nan,nan
15.942,0.18099999
14.965,0.077
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.341,0.126
nan,nan
nan,nan
15.042,0.097000003
16.007,0.19599999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.556,0.054000001
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.059,0.096000001
nan,nan
15.536,0.12
7.0409999,0.044
nan,nan
15.641,0.13699999
nan,nan
13.992,0.050999999
14.183,0.052999999
15.012,0.082999997
nan,nan
14.138,0.046999998
15.658,0.134
15.711,0.13600001
14.605,0.055
12.068,0.032000002
nan,nan
15.827,0.15700001
14.68,0.054000001
nan,nan
13.575,0.037
15.411,0.097999997
nan,nan
nan,nan
nan,nan
nan,nan
14.379,0.050000001
nan,nan
nan,nan
nan,nan
nan,nan
15.963,0.177
nan,nan
nan,nan
14.912,0.067000002
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.632,0.064000003
nan,nan
nan,nan
14.539,0.054000001
nan,nan
nan,nan
14.707,0.075000003
15.263,0.113
nan,nan
nan,nan
14.772,0.072999999
nan,nan
15.698,0.145
nan,nan
14.827,0.078000002
14.636,0.064999998
nan,nan
14.527,0.061999999
15.785,0.17200001
14.771,0.068000004
13.914,0.044
nan,nan
nan,nan
nan,nan
15.927,0.15700001
nan,nan
nan,nan
nan,nan
nan,nan
15.753,0.141
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.895,0.14399999
nan,nan
nan,nan
15.266,0.11
nan,nan
nan,nan
nan,nan
nan,nan
15.329,0.090999998
nan,nan
nan,nan
13.857,0.041999999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.235,0.064000003
16.077,0.214
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.494,0.116
nan,nan
15.847,0.164
nan,nan
14.803,0.090999998
12.954,0.037
14.918,0.086000003
nan,nan
nan,nan
nan,nan
nan,nan
13.225,0.029999999
13.151,0.039000001
nan,nan
13.822,0.043000001
nan,nan
14.043,0.046
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.45,0.052000001
nan,nan
nan,nan
15.6,0.12800001
nan,nan
nan,nan
nan,nan
15.205,0.079000004
nan,nan
nan,nan
nan,nan
14.573,0.057
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.68,0.033
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.952,0.26499999
nan,nan
13.121,0.035999998
13.053,0.034000002
nan,nan
nan,nan
14.7,0.072999999
15.92,0.176
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.323,0.041000001
nan,nan
nan,nan
15.702,0.149
15.05,0.090999998
nan,nan
nan,nan
nan,nan
15.948,0.185
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.37,0.056000002
15.184,0.090000004
14.923,0.071999997
nan,nan
nan,nan
nan,nan
15.039,0.094999999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.876,0.075999998
nan,nan
10.382,0.030999999
nan,nan
nan,nan
15.821,0.18700001
nan,nan
nan,nan
nan,nan
15.643,0.113
nan,nan
14.333,0.046999998
13.905,0.039999999
nan,nan
nan,nan
nan,nan
13.547,0.057
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.204,0.106
nan,nan
nan,nan
15.453,0.12
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
16.041,0.215
14.543,0.068000004
15.626,0.141
13.459,0.048999999
nan,nan
8.54,0.024
nan,nan
15.156,0.102
nan,nan
12.8,0.035999998
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.693,0.061000001
13.702,0.039999999
nan,nan
nan,nan
nan,nan
15.471,0.107
nan,nan
nan,nan
nan,nan
nan,nan
13.337,0.035
nan,nan
nan,nan
nan,nan
15.66,0.13500001
nan,nan
16.052,0.205
9.9020004,0.034000002
15.339,0.117
nan,nan
nan,nan
nan,nan
nan,nan
15.703,0.148
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.742,0.17299999
nan,nan
nan,nan
nan,nan
