RA,Dec
nan,nan
nan,nan
nan,nan
nan,nan
346.146682,62.292393
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
345.483315,62.308525
nan,nan
nan,nan
345.272928,62.31295
nan,nan
345.221297,62.313969
nan,nan
345.079135,62.316807
nan,nan
nan,nan
349.790508,62.147041
349.788266,62.147144
349.51743,62.161079
349.454788,62.164276
nan,nan
nan,nan
nan,nan
nan,nan
348.711669,62.200096
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
347.772174,62.239441
nan,nan
nan,nan
347.270708,62.257996
347.164065,62.261646
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
346.502563,62.282574
nan,nan
nan,nan
346.309108,62.288128
nan,nan
345.517435,62.308044
nan,nan
nan,nan
345.250844,62.313622
345.142767,62.315773
nan,nan
nan,nan
nan,nan
349.687185,62.152653
nan,nan
nan,nan
349.390194,62.167973
nan,nan
nan,nan
348.949401,62.189438
nan,nan
nan,nan
348.492679,62.21006
nan,nan
348.380929,62.214905
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
347.76636,62.239948
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
347.079724,62.264793
nan,nan
346.991925,62.267635
nan,nan
346.775505,62.274395
346.591972,62.280231
nan,nan
nan,nan
346.175874,62.291943
346.045023,62.295403
345.961299,62.297791
nan,nan
nan,nan
nan,nan
345.7669,62.302502
nan,nan
nan,nan
345.283546,62.313278
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
349.720169,62.15107
349.648964,62.154942
nan,nan
nan,nan
349.439276,62.165764
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
348.729579,62.199997
nan,nan
348.667221,62.202599
nan,nan
348.450859,62.212196
nan,nan
348.085677,62.22765
nan,nan
nan,nan
nan,nan
347.936531,62.233597
nan,nan
347.74225,62.241131
nan,nan
347.596399,62.246815
nan,nan
347.506768,62.250069
nan,nan
nan,nan
nan,nan
nan,nan
347.136447,62.263088
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
345.527794,62.308247
345.400746,62.310905
nan,nan
nan,nan
nan,nan
345.203951,62.315037
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
349.866308,62.143547
nan,nan
nan,nan
nan,nan
nan,nan
349.200035,62.177898
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
348.556748,62.207851
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
347.853366,62.237038
347.664423,62.24427
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
346.346716,62.287735
346.085149,62.294941
nan,nan
nan,nan
nan,nan
nan,nan
345.660003,62.305367
nan,nan
nan,nan
nan,nan
nan,nan
345.094586,62.317501
344.92855,62.320492
nan,nan
nan,nan
nan,nan
344.630548,62.325504
344.615005,62.325825
nan,nan
nan,nan
350.185098,62.126278
nan,nan
nan,nan
349.633833,62.156052
349.595718,62.157978
nan,nan
349.464748,62.164925
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
348.613865,62.205433
348.594769,62.206306
nan,nan
348.441748,62.213078
348.43418,62.213356
nan,nan
348.273902,62.220261
348.215118,62.22282
nan,nan
nan,nan
348.061383,62.229031
347.985023,62.232159
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
346.093519,62.294838
nan,nan
nan,nan
345.779158,62.302963
345.744135,62.303703
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
345.081224,62.31802
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
344.492544,62.32798
nan,nan
350.097456,62.131462
350.017505,62.135765
nan,nan
349.826082,62.146084
nan,nan
349.610927,62.15752
349.546494,62.160793
349.397524,62.168633
nan,nan
349.261375,62.175159
349.129129,62.181835
349.072127,62.184574
349.053693,62.185413
348.918712,62.191711
nan,nan
348.795529,62.197495
348.753658,62.199368
nan,nan
348.543581,62.208847
348.513645,62.210171
nan,nan
nan,nan
nan,nan
nan,nan
347.720751,62.242683
nan,nan
nan,nan
nan,nan
nan,nan
347.123206,62.264046
nan,nan
nan,nan
346.862525,62.272751
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
345.973823,62.298378
nan,nan
nan,nan
345.795366,62.30257
nan,nan
nan,nan
345.459773,62.310326
345.450029,62.310745
nan,nan
nan,nan
345.186812,62.316212
nan,nan
344.845174,62.32243
nan,nan
344.817026,62.322948
350.153075,62.128502
nan,nan
349.922881,62.141098
349.77427,62.149075
349.74852,62.150593
349.64091,62.156219
nan,nan
nan,nan
nan,nan
349.118164,62.182419
nan,nan
nan,nan
nan,nan
nan,nan
348.682785,62.202976
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
347.813412,62.239338
nan,nan
nan,nan
347.556969,62.249107
nan,nan
nan,nan
nan,nan
nan,nan
347.209619,62.261478
nan,nan
nan,nan
346.869372,62.272842
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
345.902499,62.300236
345.760302,62.303867
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
344.948378,62.320877
nan,nan
344.718107,62.324753
nan,nan
344.521775,62.327854
344.519317,62.327839
344.147885,62.333035
nan,nan
nan,nan
nan,nan
nan,nan
343.954086,62.335171
350.197557,62.126312
nan,nan
349.845131,62.145763
nan,nan
349.795386,62.148262
nan,nan
nan,nan
nan,nan
349.56685,62.160343
nan,nan
nan,nan
nan,nan
349.343482,62.171806
nan,nan
nan,nan
349.114532,62.183083
nan,nan
nan,nan
nan,nan
348.908839,62.192654
nan,nan
nan,nan
nan,nan
348.685638,62.203098
nan,nan
nan,nan
348.360196,62.217316
nan,nan
348.076621,62.228958
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
347.688353,62.244442
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
346.822369,62.274689
nan,nan
346.78171,62.275738
346.760204,62.27652
nan,nan
nan,nan
346.429878,62.286282
346.244129,62.291546
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
345.409889,62.311943
nan,nan
nan,nan
345.056016,62.319187
344.996081,62.320122
nan,nan
nan,nan
nan,nan
344.77481,62.323986
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
343.960228,62.335556
350.220173,62.125198
350.166052,62.128265
nan,nan
nan,nan
nan,nan
349.606267,62.158428
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
348.723158,62.201626
nan,nan
348.656853,62.204601
nan,nan
nan,nan
348.509911,62.211273
nan,nan
nan,nan
nan,nan
347.315881,62.258263
nan,nan
347.250051,62.26067
347.148769,62.264015
nan,nan
nan,nan
nan,nan
346.948363,62.27076
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
346.105245,62.295677
nan,nan
nan,nan
345.668713,62.306526
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
344.705922,62.325459
344.674575,62.326038
344.274057,62.33202
344.032852,62.334896
nan,nan
343.892372,62.336327
nan,nan
343.586065,62.339409
nan,nan
350.156629,62.129135
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
348.769507,62.199661
348.756911,62.200306
nan,nan
nan,nan
nan,nan
348.401545,62.216133
nan,nan
nan,nan
nan,nan
nan,nan
347.745056,62.242615
nan,nan
nan,nan
nan,nan
347.314098,62.258717
nan,nan
347.017116,62.2687
346.817283,62.275177
346.749546,62.277332
nan,nan
nan,nan
nan,nan
nan,nan
345.862366,62.302216
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
345.343554,62.313847
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
344.677768,62.326187
nan,nan
344.509512,62.328812
344.478211,62.329224
344.475082,62.329254
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
344.117001,62.334061
nan,nan
nan,nan
nan,nan
350.066745,62.134323
350.038274,62.135826
nan,nan
nan,nan
nan,nan
349.665746,62.155876
349.621167,62.158306
349.59062,62.159885
nan,nan
nan,nan
nan,nan
nan,nan
