mag,err
nan,nan
14.39,0.077
nan,nan
nan,nan
15.47,0.184
nan,nan
nan,nan
13.376,0.043000001
nan,nan
nan,nan
11.695,0.018999999
nan,nan
14.286,0.075000003
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.943,0.12
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.445,0.154
nan,nan
nan,nan
nan,nan
14.382,0.071999997
14.493,0.086999997
nan,nan
nan,nan
13.137,0.029999999
13.393,0.041000001
13.411,0.046999998
nan,nan
nan,nan
nan,nan
15.02,0.117
nan,nan
nan,nan
13.9,0.054000001
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.172,0.155
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.333,0.090000004
nan,nan
nan,nan
nan,nan
14.583,0.079999998
nan,nan
15.388,0.20900001
nan,nan
nan,nan
nan,nan
11.937,0.023
nan,nan
14.39,0.071000002
nan,nan
15.606,0.212
nan,nan
14.703,0.117
nan,nan
nan,nan
nan,nan
nan,nan
12.686,0.029999999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.835,0.108
14.869,0.114
nan,nan
nan,nan
nan,nan
13.548,0.046
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.564,0.113
nan,nan
nan,nan
nan,nan
nan,nan
14.991,0.123
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
11.606,0.022
14.602,0.153
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
12.221,0.024
15.218,0.148
nan,nan
nan,nan
nan,nan
nan,nan
13.816,0.046999998
nan,nan
nan,nan
nan,nan
nan,nan
13.609,0.039999999
15.399,0.17200001
nan,nan
nan,nan
nan,nan
14.188,0.059999999
nan,nan
nan,nan
nan,nan
15.327,0.186
nan,nan
nan,nan
15.145,0.152
13.085,0.037
nan,nan
15.521,0.2
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.921,0.125
12.63,0.032000002
nan,nan
12.312,0.028000001
12.767,0.035
nan,nan
15.52,0.20999999
15.239,0.169
nan,nan
nan,nan
nan,nan
14.512,0.094999999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.157,0.15000001
nan,nan
nan,nan
14.574,0.088
15.669,0.23
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
12.953,0.039000001
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.138,0.14399999
nan,nan
15.336,0.18700001
6.994,0.021
nan,nan
14.782,0.121
nan,nan
13.874,0.064000003
13.976,0.061000001
14.672,0.093000002
nan,nan
13.948,0.050999999
15.323,0.16
15.389,0.183
14.277,0.057999998
11.712,0.018999999
nan,nan
15.492,0.199
14.56,0.086000003
nan,nan
13.447,0.039000001
15.149,0.146
nan,nan
nan,nan
nan,nan
nan,nan
13.934,0.052000001
nan,nan
nan,nan
nan,nan
nan,nan
15.634,0.192
nan,nan
nan,nan
14.75,0.086999997
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.315,0.074000001
nan,nan
nan,nan
14.095,0.052000001
nan,nan
nan,nan
14.208,0.071999997
15.021,0.142
nan,nan
nan,nan
14.065,0.055
nan,nan
15.041,0.127
nan,nan
14.451,0.082000002
14.579,0.090999998
nan,nan
14.519,0.1
nan,nan
14.534,0.089000002
13.62,0.044
nan,nan
nan,nan
nan,nan
15.465,0.193
nan,nan
nan,nan
nan,nan
nan,nan
15.164,0.15899999
nan,nan
nan,nan
