angDist,angDist,_RAJ2000,_DEJ2000,RAJ2000,DEJ2000,Cl,Vmag,V-I,Jmag,Hmag,Ksmag,[3.6],[4.5],[5.8],[8.0],[24],AKs,Note,M07,2M,Simbad,2MASS,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val
0.112519,0.131851,343.6629167,62.6984722,22 54 39.10,+62 41 54.5,III,19.55,3.07,14.53,13.61,13.25,12.99,12.93,12.9,12.94,,0.03,,1,2M,Simbad,22543911+6241545,343.662993,62.698483,0.06,0.06,90,14.53,13.613,13.252,0.034,0.034,0.036,AAA,222,0,2450750.5825,343.6629708385914,62.6984532190633,0.004,0.003,90,2207270898431927808,343.66294472457,0.1068,62.69843890257,0.1044,1.0934,0.1255,-2.782,0.228,-3.325,0.205,0,1.25951e+03,2.81106e+00,17.937862,2.02311e+02,1.02197e+01,19.586342,1.85135e+03,1.03571e+01,16.593199,2.993143,,,0,,,,,
0.155174,0.129343,343.6631667,62.7854167,22 54 39.16,+62 47 07.5,III,19.89,3.06,14.79,13.83,13.55,13.35,13.28,13.17,13.23,,0.04,,1,2M,Simbad,22543914+6247074,343.663101,62.785397,0.06,0.06,90,14.786,13.826,13.553,0.036,0.034,0.046,AAA,222,0,2450750.5826,343.6630793329754,62.7854005279851,0.004,0.003,90,2207284058212051840,343.66307245949,0.1185,62.78538910960,0.1073,1.3267,0.1351,-0.730,0.229,-2.652,0.207,0,9.95906e+02,1.66307e+00,18.192820,1.40694e+02,7.28160e+00,19.980696,1.44385e+03,8.04866e+00,16.863117,3.117579,,,0,,,,,
0.095249,0.167542,343.6644167,62.61225,22 54 39.46,+62 36 44.1,III,,,14.28,13.35,12.91,12.65,12.6,12.47,12.53,,0.03,X-ray,0,2M,Simbad,22543945+6236442,343.664378,62.612293,0.06,0.06,90,14.279,13.348,12.909,0.03,0.028,0.028,AAA,222,0,2450750.5824,343.6643914986485,62.6122737829919,0.005,0.004,90,2207266637837902336,343.66438494348,0.1390,62.61226231777,0.1384,1.1544,0.1702,-0.700,0.308,-2.663,0.256,0,1.01656e+03,2.01105e+00,18.170530,1.30667e+02,1.01554e+01,20.060976,1.64834e+03,1.53083e+01,16.719305,3.341671,,,0,,,,,
0.209655,0.175417,343.6671667,62.5035278,22 54 40.12,+62 30 12.7,III,17.33,2.24,13.72,13.02,12.79,12.56,12.61,12.64,12.95,,0.01,,1,2M,Simbad,22544010+6230125,343.667109,62.503487,0.06,0.06,90,13.716,13.024,12.791,0.034,0.037,0.039,AAA,222,0,2450750.5824,343.6671620694197,62.5034696017229,0.004,0.003,90,2207259323499499264,343.66728995166,0.0956,62.50349243368,0.1026,2.3876,0.1150,13.713,0.252,5.303,0.214,0,5.34615e+03,4.26944e+00,16.368263,1.34452e+03,1.18041e+01,17.529968,6.26922e+03,1.27176e+01,15.268886,2.261083,,,0,3546.00,,,0.77,0.085
0.077287,0.157065,343.667875,62.6895556,22 54 40.29,+62 41 22.4,III,20.2,3.08,15.43,14.83,14.65,14.24,14.16,14.13,14.4,,,X-ray,1,2M,Simbad,22544030+6241224,343.667949,62.689583,0.07,0.07,135,15.433,14.827,14.649,0.074,0.087,0.113,AAB,222,0,2450750.5825,343.6679160758104,62.6895658821123,0.005,0.005,90,2207270902725941248,343.66796366253,0.1591,62.68955728659,0.1527,2.4485,0.1851,5.071,0.329,-1.996,0.308,0,6.61230e+02,1.39510e+00,18.637484,1.20394e+02,7.85604e+00,20.149874,9.38329e+02,6.92840e+00,17.331032,2.818842,,,0,,,,,
0.086816,0.067047,343.6681667,62.5593056,22 54 40.36,+62 33 33.5,III,15.19,2.27,11.23,10.42,10.16,10.01,10.0,9.94,9.92,,0.02,,1,2M,Simbad,22544036+6233335,343.668207,62.559307,0.06,0.06,90,11.225,10.424,10.158,0.022,0.02,0.018,AAA,222,0,2450750.5824,343.6681734302242,62.5592816845784,0.001,0.001,90,2207266298526345472,343.66810211527,0.0266,62.55926739237,0.0280,0.6184,0.0304,-7.633,0.055,-3.319,0.053,0,4.03351e+04,1.47148e+01,14.174158,9.25737e+03,2.88041e+01,15.435168,4.81841e+04,6.78524e+01,13.054661,2.380508,-12.69,3.94,5,3809.00,2.2757,1.1130,6.45,7.897
0.116366,0.20301,343.6696667,62.6561667,22 54 40.72,+62 39 22.2,III,21.69,3.65,15.12,13.91,13.41,13.02,13.03,12.88,13.02,,0.07,,1,2M,Simbad,22544074+6239221,343.669788,62.656158,0.06,0.06,90,15.116,13.912,13.41,0.05,0.037,0.039,AAA,222,0,2450750.5825,343.6697370443005,62.6561657971381,0.011,0.009,90,2207269902001957120,343.66972705727,0.2768,62.65616013399,0.2687,0.0434,0.3248,-1.065,0.700,-1.315,0.575,0,2.86643e+02,1.05809e+00,19.545012,5.51008e+01,7.58890e+00,20.998493,4.86734e+02,8.03663e+00,18.043692,2.954802,,,0,,,,,
0.080220,0.070271,343.670625,62.9046944,22 54 40.95,+62 54 16.9,III,15.78,2.2,11.74,,,10.39,10.48,10.38,10.34,,,,1,2M,Simbad,22544094+6254169,343.670612,62.904713,0.11,0.11,135,11.74,10.835,10.546,0.03,,,AUU,266,0,2450750.5826,343.6706159648424,62.9047162999276,0.001,0.001,90,2207288872874134656,343.67057446356,0.0231,62.90471051531,0.0254,0.2826,0.0293,-4.390,0.047,-1.344,0.045,0,2.34343e+04,8.55719e+00,14.763734,5.38020e+03,2.52029e+01,16.024393,2.80453e+04,3.37913e+01,13.642271,2.382122,,,0,3949.20,2.3047,1.1363,9.55,19.988
0.164281,0.121029,343.6706667,62.7178333,22 54 40.96,+62 43 04.2,III,16.6,2.37,12.39,11.48,11.2,11.01,11.05,10.96,10.93,,0.04,,1,2M,Simbad,22544097+6243041,343.670715,62.717808,0.06,0.06,90,12.392,11.48,11.201,0.029,0.023,0.021,AAA,222,0,2450750.5825,343.6706930237569,62.7177892904904,0.001,0.001,90,2207271177609052160,343.67066270287,0.0371,62.71777970457,0.0354,0.1490,0.0427,-3.228,0.077,-2.226,0.067,0,1.16543e+04,5.31399e+00,15.522145,2.51399e+03,1.37316e+01,16.850481,1.43946e+04,2.71626e+01,14.366424,2.484057,,,0,4109.75,2.0555,1.0343,,
0.035160,0.06823,343.671,62.4994722,22 54 41.04,+62 29 58.1,III,20.18,3.17,14.5,13.43,13.01,12.71,12.73,12.63,12.46,,0.05,,1,2M,Simbad,22544104+6229581,343.671019,62.499489,0.06,0.06,90,14.499,13.431,13.012,0.032,0.033,0.026,AAA,222,0,2450750.5824,343.6710158075314,62.4994786890994,0.005,0.005,90,2207212383796172160,343.67099497219,0.1456,62.49947097418,0.1450,-0.1555,0.1721,-2.235,0.316,-1.792,0.294,0,8.18019e+02,1.37076e+00,18.406458,1.26252e+02,7.72994e+00,20.098290,1.24951e+03,9.09507e+00,17.020067,3.078222,,,0,,,,,
